geomtype|pass_size|abc|group|g|maxdegbf|lambdas|plabel|num_orbits|deg|BelyiDB_plabel|a_s|b_s|c_s|triples|aut_group
text|smallint|smallint[]|text|smallint|smallint|jsonb|text|smallint|smallint|text|smallint|smallint|smallint|jsonb|jsonb

H|4|[6,4,5]|6T16|1|4|[[6],[4,1,1],[5,1]]|6T16-6_4.1.1_5.1|1|6|6T16-[6,4,5]-6-411-51-g1|4|5|6|[[[2,6,1,3,4,5],[2,3,4,1,5,6],[2,4,3,5,6,1]],[[5,6,1,3,2,4],[2,3,4,1,5,6],[2,5,3,6,4,1]],[[3,6,2,1,4,5],[2,3,4,1,5,6],[3,2,4,5,6,1]],[[5,1,6,2,3,4],[2,3,4,1,5,6],[1,3,5,6,4,2]]]|[[1,2,3,4,5,6]]
H|3|[6,4,6]|6T16|1|3|[[6],[4,2],[3,2,1]]|6T16-6_4.2_3.2.1|1|6|6T16-[6,4,6]-6-42-321-g1|4|6|6|[[[5,3,1,2,6,4],[2,3,4,1,6,5],[2,3,1,5,4,6]],[[3,6,2,5,1,4],[2,3,4,1,6,5],[6,2,4,5,3,1]],[[3,1,6,5,2,4],[2,3,4,1,6,5],[1,6,4,5,3,2]]]|[[1,2,3,4,5,6]]
H|1|[6,5,2]|6T16|0|1|[[6],[5,1],[2,1,1,1,1]]|6T16-6_5.1_2.1.1.1.1|1|6|6T16-[6,5,2]-6-51-21111-g0|2|5|6|[[[2,3,4,5,6,1],[1,6,2,3,4,5],[2,1,3,4,5,6]]]|[[1,2,3,4,5,6]]
H|8|[6,5,6]|6T16|1|8|[[6],[5,1],[3,2,1]]|6T16-6_5.1_3.2.1|1|6|6T16-[6,5,6]-6-51-321-g1|5|6|6|[[[2,3,6,1,4,5],[2,3,4,5,1,6],[3,5,1,4,6,2]],[[4,6,2,5,3,1],[2,3,4,5,1,6],[6,2,4,5,3,1]],[[6,3,5,1,4,2],[2,3,4,5,1,6],[3,6,1,4,2,5]],[[4,1,6,5,3,2],[2,3,4,5,1,6],[1,6,4,5,3,2]],[[4,6,5,3,2,1],[2,3,4,5,1,6],[6,4,3,5,2,1]],[[3,5,2,1,6,4],[2,3,4,5,1,6],[3,2,5,6,1,4]],[[6,4,5,3,1,2],[2,3,4,5,1,6],[4,6,3,1,2,5]],[[5,3,4,1,6,2],[2,3,4,5,1,6],[3,6,1,2,5,4]]]|[[1,2,3,4,5,6]]
H|3|[6,6,3]|6T16|0|3|[[3,2,1],[3,2,1],[3,3]]|6T16-3.2.1_3.2.1_3.3|1|6|6T16-[6,6,3]-321-321-33-g0|3|6|6|[[[2,3,1,5,4,6],[5,2,4,6,1,3],[6,5,2,1,3,4]],[[2,3,1,5,4,6],[4,6,3,1,2,5],[3,4,5,6,1,2]],[[2,3,1,5,4,6],[2,4,6,1,5,3],[6,4,1,5,2,3]]]|[[1,2,3,4,5,6]]
H|2|[6,6,3]|6T16|0|2|[[6],[3,2,1],[3,1,1,1]]|6T16-6_3.2.1_3.1.1.1|1|6|6T16-[6,6,3]-6-321-3111-g0|3|6|6|[[[2,3,4,5,6,1],[3,1,2,5,4,6],[6,2,3,1,5,4]],[[2,3,4,5,6,1],[6,2,4,3,1,5],[1,5,2,4,3,6]]]|[[1,2,3,4,5,6]]
H|2|[6,6,3]|6T16|1|2|[[6],[3,2,1],[3,3]]|6T16-6_3.2.1_3.3|1|6|6T16-[6,6,3]-6-321-33-g1|3|6|6|[[[2,3,4,5,6,1],[3,5,1,4,6,2],[5,3,6,1,4,2]],[[2,3,4,5,6,1],[3,4,1,5,2,6],[6,3,5,1,2,4]]]|[[1,2,3,4,5,6]]
H|3|[6,6,3]|6T16|1|3|[[6],[6],[3,1,1,1]]|6T16-6_6_3.1.1.1|1|6|6T16-[6,6,3]-6-6-3111-g1|3|6|6|[[[2,3,4,5,6,1],[5,1,2,6,4,3],[4,2,3,6,5,1]],[[2,3,4,5,6,1],[5,1,6,3,4,2],[3,2,6,4,5,1]],[[2,3,4,5,6,1],[6,1,4,2,3,5],[1,2,4,5,3,6]]]|[[1,2,3,4,5,6]]
H|4|[6,6,4]|6T16|2|4|[[6],[6],[4,2]]|6T16-6_6_4.2|1|6|6T16-[6,6,4]-6-6-42-g2|4|6|6|[[[6,3,4,5,1,2],[3,5,6,2,1,4],[2,3,4,1,6,5]],[[3,6,4,5,2,1],[3,6,5,1,2,4],[2,3,4,1,6,5]],[[3,6,5,2,4,1],[5,6,4,1,2,3],[2,3,4,1,6,5]],[[2,4,6,5,3,1],[2,6,1,5,3,4],[2,3,4,1,6,5]]]|[[1,2,3,4,5,6]]
H|7|[6,6,5]|6T16|2|6|[[6],[6],[5,1]]|6T16-6_6_5.1|2|6|6T16-[6,6,5]-6-6-51-g2|5|6|6|[[[2,3,4,5,6,1],[4,6,1,2,3,5],[2,3,4,5,1,6]],[[3,5,4,2,6,1],[2,6,4,1,3,5],[2,3,4,5,1,6]],[[4,3,5,2,6,1],[3,6,4,2,1,5],[2,3,4,5,1,6]],[[2,4,1,5,6,3],[4,3,1,6,2,5],[2,3,4,5,1,6]],[[3,4,5,1,6,2],[3,4,6,1,2,5],[2,3,4,5,1,6]],[[2,4,6,5,3,1],[4,6,1,5,2,3],[2,3,4,5,1,6]],[[4,5,1,2,6,3],[2,3,4,6,1,5],[2,3,4,5,1,6]]]|[[1,2,3,4,5,6]]
S|1|[3,2,2]|6T2|0|1|[[3,3],[2,2,2],[2,2,2]]|6T2-3.3_2.2.2_2.2.2|1|6|6T2-[3,2,2]-33-222-222-g0|2|2|3|[[[3,4,5,6,1,2],[2,1,6,5,4,3],[4,3,2,1,6,5]]]|[[5,4,1,6,3,2],[4,5,6,1,2,3]]
S|1|[6,2,2]|6T3|0|1|[[6],[2,2,2],[2,2,1,1]]|6T3-6_2.2.2_2.2.1.1|1|6|6T3-[6,2,2]-6-222-2211-g0|2|2|6|[[[2,3,4,5,6,1],[4,3,2,1,6,5],[5,4,3,2,1,6]]]|[[4,5,6,1,2,3]]
S|1|[3,3,2]|6T4|0|1|[[3,3],[3,3],[2,2,1,1]]|6T4-3.3_3.3_2.2.1.1|1|6|6T4-[3,3,2]-33-33-2211-g0|2|3|3|[[[3,4,5,6,1,2],[2,6,4,5,3,1],[4,2,6,1,5,3]]]|[[4,5,6,1,2,3]]
E|1|[3,3,3]|6T4|1|1|[[3,3],[3,3],[3,3]]|6T4-3.3_3.3_3.3|1|6|6T4-[3,3,3]-33-33-33-g1|3|3|3|[[[3,4,5,6,1,2],[6,4,2,3,1,5],[6,1,5,3,4,2]]]|[[4,5,6,1,2,3]]
E|1|[6,2,3]|6T5|0|1|[[6],[2,2,2],[3,1,1,1]]|6T5-6_2.2.2_3.1.1.1|1|6|6T5-[6,2,3]-6-222-3111-g0|2|3|6|[[[4,3,6,5,2,1],[4,5,6,1,2,3],[3,2,5,4,1,6]]]|[[5,6,1,2,3,4]]
H|1|[6,6,3]|6T5|1|1|[[6],[6],[3,1,1,1]]|6T5-6_6_3.1.1.1|1|6|6T5-[6,6,3]-6-6-3111-g1|3|6|6|[[[6,5,2,1,4,3],[2,3,4,5,6,1],[3,2,5,4,1,6]]]|[[5,6,1,2,3,4]]
H|1|[6,6,3]|6T5|2|1|[[6],[6],[3,3]]|6T5-6_6_3.3|1|6|6T5-[6,6,3]-6-6-33-g2|3|6|6|[[[6,5,2,1,4,3],[6,1,2,3,4,5],[5,4,1,6,3,2]]]|[[5,6,1,2,3,4]]
E|1|[6,3,2]|6T6|0|1|[[6],[3,3],[2,1,1,1,1]]|6T6-6_3.3_2.1.1.1.1|1|6|6T6-[6,3,2]-6-33-21111-g0|2|3|6|[[[6,4,5,3,1,2],[2,6,4,5,3,1],[4,2,3,1,5,6]]]|[[4,5,6,1,2,3]]
H|1|[6,6,2]|6T6|1|1|[[6],[6],[2,2,1,1]]|6T6-6_6_2.2.1.1|1|6|6T6-[6,6,2]-6-6-2211-g1|2|6|6|[[[6,4,5,3,1,2],[2,3,4,5,6,1],[4,5,3,1,2,6]]]|[[4,5,6,1,2,3]]
H|1|[6,6,3]|6T6|2|1|[[6],[6],[3,3]]|6T6-6_6_3.3|1|6|6T6-[6,6,3]-6-6-33-g2|3|6|6|[[[6,4,5,3,1,2],[3,1,5,6,4,2],[3,4,5,6,1,2]]]|[[4,5,6,1,2,3]]
S|1|[4,3,2]|6T7|0|1|[[4,2],[3,3],[2,2,1,1]]|6T7-4.2_3.3_2.2.1.1|1|6|6T7-[4,3,2]-42-33-2211-g0|2|3|4|[[[3,5,4,6,2,1],[2,3,1,5,6,4],[5,4,3,2,1,6]]]|[[4,5,6,1,2,3]]
H|1|[4,4,3]|6T7|1|1|[[4,2],[4,2],[3,3]]|6T7-4.2_4.2_3.3|1|6|6T7-[4,4,3]-42-42-33-g1|3|4|4|[[[5,1,6,2,4,3],[3,5,4,6,2,1],[5,3,4,2,6,1]]]|[[4,5,6,1,2,3]]
S|1|[4,3,2]|6T8|0|1|[[4,1,1],[3,3],[2,2,2]]|6T8-4.1.1_3.3_2.2.2|1|6|6T8-[4,3,2]-411-33-222-g0|2|3|4|[[[3,2,4,6,5,1],[5,3,4,2,6,1],[5,4,6,2,1,3]]]|[[4,5,6,1,2,3]]
H|1|[4,4,3]|6T8|0|1|[[4,1,1],[4,1,1],[3,3]]|6T8-4.1.1_4.1.1_3.3|1|6|6T8-[4,4,3]-411-411-33-g0|3|4|4|[[[5,1,3,2,4,6],[3,2,4,6,5,1],[2,3,1,5,6,4]]]|[[4,5,6,1,2,3]]
H|1|[6,6,2]|6T9|1|1|[[6],[6],[2,2,1,1]]|6T9-6_6_2.2.1.1|1|6|6T9-[6,6,2]-6-6-2211-g1|2|6|6|[[[6,5,2,1,4,3],[2,5,6,3,4,1],[5,4,3,2,1,6]]]|[[1,2,3,4,5,6]]
S|1|[7,7,1]|7T1|0|1|[[7],[7],[1,1,1,1,1,1,1]]|7T1-7_7_1.1.1.1.1.1.1|1|7|7T1-[7,7,1]-7-7-1111111-g0|1|7|7|[[[2,3,4,5,6,7,1],[7,1,2,3,4,5,6],[1,2,3,4,5,6,7]]]|[[2,3,4,5,6,7,1]]
S|1|[7,2,2]|7T2|0|1|[[7],[2,2,2,1],[2,2,2,1]]|7T2-7_2.2.2.1_2.2.2.1|1|7|7T2-[7,2,2]-7-2221-2221-g0|2|2|7|[[[2,3,4,5,6,7,1],[5,4,3,2,1,7,6],[6,5,4,3,2,1,7]]]|[[1,2,3,4,5,6,7]]
E|2|[3,3,3]|7T3|0|2|[[3,3,1],[3,3,1],[3,3,1]]|7T3-3.3.1_3.3.1_3.3.1|1|7|7T3-[3,3,3]-331-331-331-g0|3|3|3|[[[1,5,2,6,3,7,4],[3,7,4,1,5,2,6],[4,1,5,2,6,3,7]],[[1,3,5,7,2,4,6],[4,6,1,3,5,7,2],[3,5,7,2,4,6,1]]]|[[1,2,3,4,5,6,7]]
H|2|[7,3,3]|7T3|1|2|[[7],[3,3,1],[3,3,1]]|7T3-7_3.3.1_3.3.1|1|7|7T3-[7,3,3]-7-331-331-g1|3|3|7|[[[2,3,4,5,6,7,1],[1,3,5,7,2,4,6],[4,1,5,2,6,3,7]],[[2,3,4,5,6,7,1],[3,7,4,1,5,2,6],[2,4,6,1,3,5,7]]]|[[1,2,3,4,5,6,7]]
E|2|[6,3,2]|7T4|0|2|[[6,1],[3,3,1],[2,2,2,1]]|7T4-6.1_3.3.1_2.2.2.1|1|7|7T4-[6,3,2]-61-331-2221-g0|2|3|6|[[[6,4,2,7,5,3,1],[1,5,2,6,3,7,4],[6,5,4,3,2,1,7]],[[7,3,6,2,5,1,4],[3,5,7,2,4,6,1],[6,5,4,3,2,1,7]]]|[[1,2,3,4,5,6,7]]
H|2|[6,6,3]|7T4|1|2|[[6,1],[6,1],[3,3,1]]|7T4-6.1_6.1_3.3.1|1|7|7T4-[6,6,3]-61-61-331-g1|3|6|6|[[[6,4,2,7,5,3,1],[2,7,5,3,1,6,4],[2,4,6,1,3,5,7]],[[7,3,6,2,5,1,4],[4,7,3,6,2,5,1],[4,1,5,2,6,3,7]]]|[[1,2,3,4,5,6,7]]
H|2|[7,6,6]|7T4|2|2|[[7],[6,1],[6,1]]|7T4-7_6.1_6.1|1|7|7T4-[7,6,6]-7-61-61-g2|6|6|7|[[[2,3,4,5,6,7,1],[2,5,1,4,7,3,6],[5,3,1,6,4,2,7]],[[2,3,4,5,6,7,1],[4,2,7,5,3,1,6],[3,6,2,5,1,4,7]]]|[[1,2,3,4,5,6,7]]
H|4|[4,3,3]|7T5|0|4|[[4,2,1],[3,3,1],[3,3,1]]|7T5-4.2.1_3.3.1_3.3.1|1|7|7T5-[4,3,3]-421-331-331-g0|3|3|4|[[[4,3,2,6,5,7,1],[1,7,5,3,4,2,6],[2,4,6,1,3,5,7]],[[7,5,6,4,1,3,2],[1,7,5,3,4,2,6],[3,2,7,5,6,4,1]],[[5,2,1,3,4,7,6],[3,1,2,7,4,6,5],[1,3,5,7,2,4,6]],[[2,3,6,5,4,1,7],[1,7,5,3,4,2,6],[7,1,6,3,5,4,2]]]|[[1,2,3,4,5,6,7]]
H|2|[4,4,3]|7T5|0|2|[[4,2,1],[4,2,1],[3,3,1]]|7T5-4.2.1_4.2.1_3.3.1|1|7|7T5-[4,4,3]-421-421-331-g0|3|4|4|[[[6,5,3,1,2,7,4],[4,2,7,1,6,3,5],[1,7,6,3,2,4,5]],[[6,5,3,1,2,7,4],[3,5,1,2,6,4,7],[6,2,1,7,4,3,5]]]|[[1,2,3,4,5,6,7]]
H|4|[4,4,4]|7T5|0|4|[[4,2,1],[4,2,1],[4,2,1]]|7T5-4.2.1_4.2.1_4.2.1|1|7|7T5-[4,4,4]-421-421-421-g0|4|4|4|[[[6,5,3,1,2,7,4],[1,4,5,2,7,3,6],[2,3,6,5,4,1,7]],[[6,5,3,1,2,7,4],[1,3,4,7,6,5,2],[3,6,2,4,7,1,5]],[[6,5,3,1,2,7,4],[3,2,4,5,1,7,6],[3,4,1,6,2,5,7]],[[6,5,3,1,2,7,4],[7,5,6,4,1,3,2],[4,2,6,1,7,5,3]]]|[[1,2,3,4,5,6,7]]
H|2|[7,2,3]|7T5|0|2|[[7],[2,2,1,1,1],[3,3,1]]|7T5-7_2.2.1.1.1_3.3.1|1|7|7T5-[7,2,3]-7-22111-331-g0|2|3|7|[[[7,4,6,5,3,1,2],[6,3,2,4,5,1,7],[1,7,5,3,4,2,6]],[[2,3,4,5,6,7,1],[7,5,3,4,2,6,1],[1,7,5,3,4,2,6]]]|[[1,2,3,4,5,6,7]]
H|2|[7,2,4]|7T5|0|2|[[7],[2,2,1,1,1],[4,2,1]]|7T5-7_2.2.1.1.1_4.2.1|1|7|7T5-[7,2,4]-7-22111-421-g0|2|4|7|[[[2,5,7,3,4,1,6],[5,2,4,3,1,6,7],[6,5,3,1,2,7,4]],[[4,5,6,7,1,2,3],[1,2,7,4,6,5,3],[6,5,3,1,2,7,4]]]|[[1,2,3,4,5,6,7]]
H|2|[7,3,3]|7T5|1|2|[[7],[3,3,1],[3,3,1]]|7T5-7_3.3.1_3.3.1|1|7|7T5-[7,3,3]-7-331-331-g1|3|3|7|[[[5,1,2,6,4,7,3],[1,7,5,3,4,2,6],[6,4,2,3,1,5,7]],[[6,5,7,1,4,3,2],[1,7,5,3,4,2,6],[5,2,7,3,6,1,4]]]|[[1,2,3,4,5,6,7]]
H|4|[7,3,4]|7T5|1|4|[[7],[3,3,1],[4,2,1]]|7T5-7_3.3.1_4.2.1|1|7|7T5-[7,3,4]-7-331-421-g1|3|4|7|[[[2,6,5,7,1,4,3],[6,3,7,4,1,5,2],[6,5,3,1,2,7,4]],[[3,5,6,2,1,7,4],[7,2,1,6,4,5,3],[6,5,3,1,2,7,4]],[[3,7,6,1,2,5,4],[7,6,1,2,5,4,3],[6,5,3,1,2,7,4]],[[4,3,1,6,7,5,2],[1,6,2,5,7,3,4],[6,5,3,1,2,7,4]]]|[[1,2,3,4,5,6,7]]
H|2|[7,4,4]|7T5|1|2|[[7],[4,2,1],[4,2,1]]|7T5-7_4.2.1_4.2.1|1|7|7T5-[7,4,4]-7-421-421-g1|4|4|7|[[[7,6,4,2,3,1,5],[3,7,5,1,4,6,2],[6,5,3,1,2,7,4]],[[4,7,2,5,6,3,1],[1,4,6,2,3,7,5],[6,5,3,1,2,7,4]]]|[[1,2,3,4,5,6,7]]
H|2|[7,7,2]|7T5|1|2|[[7],[7],[2,2,1,1,1]]|7T5-7_7_2.2.1.1.1|1|7|7T5-[7,7,2]-7-7-22111-g1|2|7|7|[[[4,5,6,7,1,2,3],[4,6,7,3,2,1,5],[7,2,3,6,5,4,1]],[[2,3,4,5,6,7,1],[2,5,7,3,4,1,6],[3,6,1,4,5,2,7]]]|[[1,2,3,4,5,6,7]]
H|4|[7,7,3]|7T5|2|2|[[7],[7],[3,3,1]]|7T5-7_7_3.3.1|2|7|7T5-[7,7,3]-7-7-331-g2|3|7|7|[[[4,5,6,7,1,2,3],[4,7,2,5,6,3,1],[4,5,2,7,3,6,1]],[[2,3,4,5,6,7,1],[2,7,1,6,3,5,4],[2,3,1,5,7,6,4]],[[4,5,6,7,1,2,3],[5,3,1,2,7,4,6],[1,7,5,3,4,2,6]],[[3,7,2,1,6,4,5],[4,5,6,7,1,2,3],[1,7,5,3,4,2,6]]]|[[1,2,3,4,5,6,7]]
H|4|[7,7,4]|7T5|2|4|[[7],[7],[4,2,1]]|7T5-7_7_4.2.1|1|7|7T5-[7,7,4]-7-7-421-g2|4|7|7|[[[2,3,4,5,6,7,1],[3,4,2,6,1,7,5],[6,5,3,1,2,7,4]],[[3,7,2,1,6,4,5],[6,7,1,2,3,4,5],[6,5,3,1,2,7,4]],[[7,6,5,2,1,3,4],[7,3,6,1,4,5,2],[6,5,3,1,2,7,4]],[[7,3,4,1,6,2,5],[3,7,2,1,6,4,5],[6,5,3,1,2,7,4]]]|[[1,2,3,4,5,6,7]]
H|4|[4,4,3]|7T6|0|4|[[4,2,1],[4,2,1],[3,3,1]]|7T6-4.2.1_4.2.1_3.3.1|1|7|7T6-[4,4,3]-421-421-331-g0|3|4|4|[[[2,3,4,1,6,5,7],[6,2,5,3,7,1,4],[7,6,2,4,1,3,5]],[[2,3,4,1,6,5,7],[6,7,2,4,3,1,5],[4,6,3,5,1,7,2]],[[2,3,4,1,6,5,7],[3,1,5,7,2,6,4],[7,2,5,1,6,3,4]],[[2,3,4,1,6,5,7],[3,5,2,7,1,6,4],[7,5,3,1,6,2,4]]]|[[1,2,3,4,5,6,7]]
H|12|[4,4,4]|7T6|0|12|[[4,2,1],[4,2,1],[4,2,1]]|7T6-4.2.1_4.2.1_4.2.1|1|7|7T6-[4,4,4]-421-421-421-g0|4|4|4|[[[2,3,4,1,6,5,7],[2,6,4,3,5,7,1],[3,7,1,4,2,5,6]],[[2,3,4,1,6,5,7],[3,1,7,5,4,6,2],[5,2,7,1,6,4,3]],[[2,3,4,1,6,5,7],[2,7,4,3,5,1,6],[3,6,1,4,7,5,2]],[[2,3,4,1,6,5,7],[3,7,2,5,4,6,1],[5,7,3,1,6,4,2]],[[2,3,4,1,6,5,7],[5,3,2,4,7,1,6],[4,6,3,2,7,1,5]],[[2,3,4,1,6,5,7],[3,5,1,4,6,7,2],[4,3,7,1,5,2,6]],[[2,3,4,1,6,5,7],[7,2,4,5,6,3,1],[3,7,2,6,5,4,1]],[[2,3,4,1,6,5,7],[3,7,1,4,6,2,5],[4,3,6,1,5,7,2]],[[2,3,4,1,6,5,7],[7,3,5,4,6,2,1],[4,7,6,2,5,3,1]],[[2,3,4,1,6,5,7],[1,4,2,5,3,7,6],[2,1,3,5,7,4,6]],[[2,3,4,1,6,5,7],[1,4,5,3,2,7,6],[2,1,5,4,7,3,6]],[[2,3,4,1,6,5,7],[2,1,5,4,7,3,6],[4,2,1,6,7,3,5]]]|[[1,2,3,4,5,6,7]]
H|6|[4,4,6]|7T6|0|4|[[4,2,1],[4,2,1],[3,2,2]]|7T6-4.2.1_4.2.1_3.2.2|2|7|7T6-[4,4,6]-421-421-322-g0|4|4|6|[[[2,3,4,1,6,5,7],[3,5,1,4,7,2,6],[4,3,6,1,7,2,5]],[[2,3,4,1,6,5,7],[6,2,5,7,4,1,3],[5,6,2,7,1,3,4]],[[2,3,4,1,6,5,7],[1,6,5,7,4,2,3],[5,1,6,7,2,3,4]],[[2,3,4,1,6,5,7],[3,5,6,4,2,7,1],[4,7,5,1,3,2,6]],[[2,3,4,1,6,5,7],[5,2,7,6,3,4,1],[6,7,2,5,4,1,3]],[[2,3,4,1,6,5,7],[3,5,7,4,2,1,6],[4,6,5,1,7,2,3]]]|[[1,2,3,4,5,6,7]]
H|3|[4,6,3]|7T6|0|3|[[4,2,1],[3,2,2],[3,3,1]]|7T6-4.2.1_3.2.2_3.3.1|1|7|7T6-[4,6,3]-421-322-331-g0|3|4|6|[[[2,3,4,1,6,5,7],[3,7,1,5,6,4,2],[6,3,7,1,5,4,2]],[[2,3,4,1,6,5,7],[2,1,6,5,4,7,3],[5,2,1,7,3,4,6]],[[2,3,4,1,6,5,7],[7,3,2,5,4,1,6],[5,6,3,2,7,4,1]]]|[[1,2,3,4,5,6,7]]
H|2|[4,6,6]|7T6|0|2|[[4,2,1],[3,2,2],[3,2,2]]|7T6-4.2.1_3.2.2_3.2.2|1|7|7T6-[4,6,6]-421-322-322-g0|4|6|6|[[[6,2,1,7,3,5,4],[2,3,1,5,4,7,6],[2,1,4,6,7,3,5]],[[5,6,7,4,3,2,1],[2,3,1,5,4,7,6],[6,7,4,5,3,1,2]]]|[[1,2,3,4,5,6,7]]
H|1|[5,3,3]|7T6|0|1|[[5,1,1],[3,3,1],[3,3,1]]|7T6-5.1.1_3.3.1_3.3.1|1|7|7T6-[5,3,3]-511-331-331-g0|3|3|5|[[[7,5,3,1,4,6,2],[2,3,1,5,6,4,7],[6,7,2,4,1,5,3]]]|[[1,2,3,4,5,6,7]]
H|5|[5,3,4]|7T6|0|5|[[5,1,1],[3,3,1],[4,2,1]]|7T6-5.1.1_3.3.1_4.2.1|1|7|7T6-[5,3,4]-511-331-421-g0|3|4|5|[[[2,5,3,4,6,7,1],[4,7,1,3,5,2,6],[2,3,4,1,6,5,7]],[[2,7,3,4,6,1,5],[4,6,1,3,5,7,2],[2,3,4,1,6,5,7]],[[7,2,3,5,6,1,4],[3,6,7,2,5,4,1],[2,4,1,3,6,5,7]],[[7,1,3,5,2,6,4],[3,2,7,5,6,4,1],[2,4,1,3,6,5,7]],[[7,5,3,2,1,6,4],[3,5,7,4,6,2,1],[2,4,1,3,6,5,7]]]|[[1,2,3,4,5,6,7]]
H|11|[5,4,4]|7T6|0|8|[[5,1,1],[4,2,1],[4,2,1]]|7T6-5.1.1_4.2.1_4.2.1|2|7|7T6-[5,4,4]-511-421-421-g0|4|4|5|[[[4,7,3,2,5,1,6],[2,3,4,1,6,5,7],[5,3,2,4,6,7,1]],[[3,2,7,4,1,5,6],[2,3,4,1,6,5,7],[6,1,4,3,5,7,2]],[[6,2,1,3,5,7,4],[2,3,4,1,6,5,7],[2,1,3,7,6,4,5]],[[3,2,6,4,7,5,1],[2,3,4,1,6,5,7],[7,1,4,3,5,2,6]],[[6,7,2,4,5,3,1],[2,3,4,1,6,5,7],[7,2,5,3,6,4,1]],[[4,7,3,6,5,2,1],[2,3,4,1,6,5,7],[7,5,2,4,6,3,1]],[[5,1,3,4,7,2,6],[2,3,4,1,6,5,7],[1,5,2,3,4,7,6]],[[5,2,3,7,6,4,1],[2,3,4,1,6,5,7],[7,1,2,5,4,6,3]],[[7,2,3,5,6,1,4],[2,3,4,1,6,5,7],[5,1,2,7,3,6,4]],[[3,7,2,4,5,1,6],[2,3,4,1,6,5,7],[5,2,4,3,6,7,1]],[[4,2,1,6,5,7,3],[2,3,4,1,6,5,7],[2,1,7,4,6,3,5]]]|[[1,2,3,4,5,6,7]]
H|4|[5,4,6]|7T6|0|3|[[5,1,1],[4,2,1],[3,2,2]]|7T6-5.1.1_4.2.1_3.2.2|2|7|7T6-[5,4,6]-511-421-322-g0|4|5|6|[[[5,2,3,1,7,4,6],[2,3,4,1,6,5,7],[3,1,2,5,4,7,6]],[[6,7,3,2,5,4,1],[2,3,4,1,6,5,7],[7,3,2,5,6,4,1]],[[5,2,1,4,7,3,6],[2,3,4,1,6,5,7],[2,1,5,3,4,7,6]],[[4,7,3,6,5,2,1],[2,4,1,3,6,5,7],[7,5,4,3,6,2,1]]]|[[1,2,3,4,5,6,7]]
H|3|[5,5,3]|7T6|0|3|[[5,1,1],[5,1,1],[3,3,1]]|7T6-5.1.1_5.1.1_3.3.1|1|7|7T6-[5,5,3]-511-511-331-g0|3|5|5|[[[2,3,4,5,1,6,7],[3,1,6,4,5,7,2],[5,2,7,1,4,3,6]],[[2,3,4,5,1,6,7],[3,6,2,4,5,7,1],[5,7,3,1,4,2,6]],[[2,3,4,5,1,6,7],[1,7,3,6,4,2,5],[7,1,6,3,5,4,2]]]|[[1,2,3,4,5,6,7]]
H|4|[5,5,4]|7T6|0|4|[[5,1,1],[5,1,1],[4,2,1]]|7T6-5.1.1_5.1.1_4.2.1|1|7|7T6-[5,5,4]-511-511-421-g0|4|5|5|[[[4,2,3,5,6,7,1],[1,7,2,3,5,4,6],[2,3,4,1,6,5,7]],[[4,2,3,7,6,1,5],[1,6,2,3,5,7,4],[2,3,4,1,6,5,7]],[[4,2,5,3,7,6,1],[1,7,2,4,6,3,5],[2,3,4,1,6,5,7]],[[7,1,3,2,4,6,5],[3,2,5,4,6,7,1],[2,4,1,3,6,5,7]]]|[[1,2,3,4,5,6,7]]
H|1|[5,5,5]|7T6|0|1|[[5,1,1],[5,1,1],[5,1,1]]|7T6-5.1.1_5.1.1_5.1.1|1|7|7T6-[5,5,5]-511-511-511-g0|5|5|5|[[[2,3,4,5,1,6,7],[5,1,3,4,6,7,2],[1,2,7,3,4,5,6]]]|[[1,2,3,4,5,6,7]]
H|3|[5,6,3]|7T6|0|3|[[5,1,1],[3,2,2],[3,3,1]]|7T6-5.1.1_3.2.2_3.3.1|1|7|7T6-[5,6,3]-511-322-331-g0|3|5|6|[[[2,3,4,5,1,6,7],[4,7,1,3,6,5,2],[6,3,7,4,1,5,2]],[[2,3,4,5,1,6,7],[7,5,4,3,6,2,1],[2,7,6,4,3,5,1]],[[2,3,4,5,1,6,7],[3,7,1,6,4,5,2],[6,3,7,1,5,4,2]]]|[[1,2,3,4,5,6,7]]
H|4|[5,6,5]|7T6|0|2|[[5,1,1],[3,2,2],[5,1,1]]|7T6-5.1.1_3.2.2_5.1.1|2|7|7T6-[5,6,5]-511-322-511-g0|5|5|6|[[[2,3,4,5,1,6,7],[7,4,2,3,6,5,1],[6,7,3,4,2,5,1]],[[2,3,4,5,1,6,7],[2,1,4,3,6,7,5],[7,2,1,4,3,5,6]],[[2,3,4,5,1,6,7],[7,3,2,6,4,5,1],[6,7,3,2,5,4,1]],[[2,3,4,5,1,6,7],[5,3,2,6,7,4,1],[1,7,3,2,6,4,5]]]|[[1,2,3,4,5,6,7]]
H|1|[5,6,6]|7T6|0|1|[[5,1,1],[3,2,2],[3,2,2]]|7T6-5.1.1_3.2.2_3.2.2|1|7|7T6-[5,6,6]-511-322-322-g0|5|6|6|[[[4,2,1,7,3,6,5],[2,3,1,5,4,7,6],[2,1,4,3,6,7,5]]]|[[1,2,3,4,5,6,7]]
H|1|[6,3,3]|7T6|0|1|[[3,2,2],[3,3,1],[3,3,1]]|7T6-3.2.2_3.3.1_3.3.1|1|7|7T6-[6,3,3]-322-331-331-g0|3|3|6|[[[5,7,1,6,3,4,2],[2,3,1,5,6,4,7],[2,7,4,5,3,6,1]]]|[[1,2,3,4,5,6,7]]
